Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1924,1721,869,51375.398438,0.016915
2,1000,0.1,0.2,50.0,1000,1864,1678,841,50376.652344,0.016694
3,1000,0.1,0.2,50.0,1000,1915,1724,852,51659.980469,0.016492
4,1000,0.1,0.2,50.0,1000,1902,1703,851,50939.523438,0.016706
5,1000,0.1,0.2,50.0,1000,1796,1649,866,50540.472656,0.017135
6,1000,0.1,0.2,50.0,1000,1798,1630,828,49174.925781,0.016838
7,1000,0.1,0.2,50.0,1000,1837,1640,847,50975.398438,0.016616
8,1000,0.1,0.2,50.0,1000,1790,1629,824,49522.421875,0.016639
9,1000,0.1,0.2,50.0,1000,1828,1653,823,48671.167969,0.016909
10,1000,0.1,0.2,50.0,1000,1837,1648,827,48035.597656,0.017216
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2128,1688,817,50676.152344,0.016122
2,1000,0.2,0.2,50.0,1000,2057,1653,781,49612.375000,0.015742
3,1000,0.2,0.2,50.0,1000,2127,1659,788,49154.835938,0.016031
4,1000,0.2,0.2,50.0,1000,2134,1708,802,50976.156250,0.015733
5,1000,0.2,0.2,50.0,1000,1941,1577,798,49376.777344,0.016161
6,1000,0.2,0.2,50.0,1000,2091,1681,798,49625.812500,0.016080
7,1000,0.2,0.2,50.0,1000,2046,1620,790,50070.000000,0.015778
8,1000,0.2,0.2,50.0,1000,2064,1670,807,50604.933594,0.015947
9,1000,0.2,0.2,50.0,1000,2141,1715,788,47680.554688,0.016527
10,1000,0.2,0.2,50.0,1000,2152,1724,816,50568.171875,0.016137
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,2766,1653,672,50008.125000,0.013438
2,1000,0.4,0.2,50.0,1000,2717,1630,670,50804.941406,0.013188
3,1000,0.4,0.2,50.0,1000,2899,1705,656,50843.574219,0.012902
4,1000,0.4,0.2,50.0,1000,2844,1702,690,51793.140625,0.013322
5,1000,0.4,0.2,50.0,1000,2892,1697,666,51335.960938,0.012973
6,1000,0.4,0.2,50.0,1000,2738,1657,664,49479.105469,0.013420
7,1000,0.4,0.2,50.0,1000,2803,1640,647,51207.648438,0.012635
8,1000,0.4,0.2,50.0,1000,2789,1692,649,49486.132812,0.013115
9,1000,0.4,0.2,50.0,1000,2813,1693,655,49245.363281,0.013301
10,1000,0.4,0.2,50.0,1000,2744,1640,659,50529.527344,0.013042
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,3680,1510,459,50852.382812,0.009026
2,1000,0.6,0.2,50.0,1000,3690,1478,413,49678.156250,0.008314
3,1000,0.6,0.2,50.0,1000,3610,1444,411,48243.023438,0.008519
4,1000,0.6,0.2,50.0,1000,3673,1484,456,50640.023438,0.009005
5,1000,0.6,0.2,50.0,1000,3712,1490,457,51972.300781,0.008793
6,1000,0.6,0.2,50.0,1000,3807,1527,430,51921.941406,0.008282
7,1000,0.6,0.2,50.0,1000,3664,1453,415,50209.281250,0.008265
8,1000,0.6,0.2,50.0,1000,3562,1396,403,48154.121094,0.008369
9,1000,0.6,0.2,50.0,1000,3633,1413,428,48403.289062,0.008842
10,1000,0.6,0.2,50.0,1000,3644,1444,416,49688.296875,0.008372
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,4601,951,151,50202.429688,0.003008
2,1000,0.8,0.2,50.0,1000,4595,961,154,50513.148438,0.003049
3,1000,0.8,0.2,50.0,1000,4568,933,133,49554.773438,0.002684
4,1000,0.8,0.2,50.0,1000,4464,965,142,48607.097656,0.002921
5,1000,0.8,0.2,50.0,1000,4582,941,147,50079.601562,0.002935
6,1000,0.8,0.2,50.0,1000,4493,928,153,49843.300781,0.003070
7,1000,0.8,0.2,50.0,1000,4420,883,141,48291.566406,0.002920
8,1000,0.8,0.2,50.0,1000,4522,942,151,49718.804688,0.003037
9,1000,0.8,0.2,50.0,1000,4604,874,142,49593.597656,0.002863
10,1000,0.8,0.2,50.0,1000,4610,886,148,50968.976562,0.002904
