Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2630,2380,999,49272.929688,0.020275
2,1000,0.1,0.2,50.0,1000,2572,2317,999,50331.542969,0.019848
3,1000,0.1,0.2,50.0,1000,2586,2333,999,49102.921875,0.020345
4,1000,0.1,0.2,50.0,1000,2446,2206,999,48629.250000,0.020543
5,1000,0.1,0.2,50.0,1000,2373,2135,999,50969.394531,0.019600
6,1000,0.1,0.2,50.0,1000,2444,2228,999,49619.125000,0.020133
7,1000,0.1,0.2,50.0,1000,2477,2236,999,50492.949219,0.019785
8,1000,0.1,0.2,50.0,1000,2547,2302,999,50966.996094,0.019601
9,1000,0.1,0.2,50.0,1000,2572,2297,999,49718.328125,0.020093
10,1000,0.1,0.2,50.0,1000,2435,2210,998,49105.523438,0.020324
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3337,2627,998,49552.355469,0.020140
2,1000,0.2,0.2,50.0,1000,3334,2648,999,49362.570312,0.020238
3,1000,0.2,0.2,50.0,1000,4473,2845,974,49920.628906,0.019511
4,1000,0.2,0.2,50.0,1000,88308,8628,153,49131.089844,0.003114
5,1000,0.2,0.2,50.0,1000,3019,2460,999,50653.273438,0.019722
6,1000,0.2,0.2,50.0,1000,3012,2440,999,50981.585938,0.019595
7,1000,0.2,0.2,50.0,1000,3587,2874,999,50508.761719,0.019779
8,1000,0.2,0.2,50.0,1000,3012,2440,998,50884.851562,0.019613
9,1000,0.2,0.2,50.0,1000,3466,2792,999,48031.753906,0.020799
10,1000,0.2,0.2,50.0,1000,3005,2422,999,50237.078125,0.019886
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,19652,4795,875,50293.042969,0.017398
2,1000,0.4,0.2,50.0,1000,6367,3816,995,50620.164062,0.019656
3,1000,0.4,0.2,50.0,1000,5932,3551,995,48972.968750,0.020317
4,1000,0.4,0.2,50.0,1000,12051,4215,942,50986.605469,0.018475
5,1000,0.4,0.2,50.0,1000,14729,4555,915,49693.648438,0.018413
6,1000,0.4,0.2,50.0,1000,46408,6439,631,50832.746094,0.012413
7,1000,0.4,0.2,50.0,1000,86756,8681,212,50633.992188,0.004187
8,1000,0.4,0.2,50.0,1000,66820,7606,417,51208.003906,0.008143
9,1000,0.4,0.2,50.0,1000,89554,8964,181,49858.910156,0.003630
10,1000,0.4,0.2,50.0,1000,6462,3872,999,50652.335938,0.019723
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,89338,8883,197,50558.687500,0.003896
2,1000,0.6,0.2,50.0,1000,93176,8882,135,49269.125000,0.002740
3,1000,0.6,0.2,50.0,1000,94177,9117,148,50592.554688,0.002925
4,1000,0.6,0.2,50.0,1000,94904,9275,158,51492.882812,0.003068
5,1000,0.6,0.2,50.0,1000,94582,9185,166,51251.703125,0.003239
6,1000,0.6,0.2,50.0,1000,91872,8956,154,49932.171875,0.003084
7,1000,0.6,0.2,50.0,1000,82174,8732,271,50586.683594,0.005357
8,1000,0.6,0.2,50.0,1000,93628,8876,133,49949.625000,0.002663
9,1000,0.6,0.2,50.0,1000,92796,8964,133,49936.238281,0.002663
10,1000,0.6,0.2,50.0,1000,91727,8835,147,49853.421875,0.002949
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,95226,8971,120,50018.019531,0.002399
2,1000,0.8,0.2,50.0,1000,95342,8953,143,50049.054688,0.002857
3,1000,0.8,0.2,50.0,1000,98231,9285,147,51511.066406,0.002854
4,1000,0.8,0.2,50.0,1000,92870,8748,126,48839.222656,0.002580
5,1000,0.8,0.2,50.0,1000,95656,8919,134,49926.171875,0.002684
6,1000,0.8,0.2,50.0,1000,95128,8999,128,49758.617188,0.002572
7,1000,0.8,0.2,50.0,1000,98696,9215,126,51151.761719,0.002463
8,1000,0.8,0.2,50.0,1000,92179,8752,121,48629.496094,0.002488
9,1000,0.8,0.2,50.0,1000,94068,8893,143,49899.828125,0.002866
10,1000,0.8,0.2,50.0,1000,94582,8899,128,49779.496094,0.002571
