Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,18930,3840,48,48245.82813,0.000995
2,1000,0.8,0.2,50,1000,20883,4209,24,52586.83984,0.000456
3,1000,0.8,0.2,50,1000,19645,3922,49,50170.375,0.000977
4,1000,0.8,0.2,50,1000,19746,4092,18,49799.83594,0.000361
5,1000,0.8,0.2,50,1000,19669,3898,12,49540.94922,0.000242
6,1000,0.8,0.2,50,1000,20259,4095,16,51033.94531,0.000314
7,1000,0.8,0.2,50,1000,19711,3804,21,49803.47656,0.000422
8,1000,0.8,0.2,50,1000,19721,4037,14,49694.53516,0.000282
9,1000,0.8,0.2,50,1000,20061,4014,31,50780.60547,0.00061
10,1000,0.8,0.2,50,1000,20583,4111,10,51772.67578,0.000193
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,95226,8971,120,50018.01953,0.002399
2,1000,0.8,0.2,50,1000,95342,8953,143,50049.05469,0.002857
3,1000,0.8,0.2,50,1000,98231,9285,147,51511.06641,0.002854
4,1000,0.8,0.2,50,1000,92870,8748,126,48839.22266,0.00258
5,1000,0.8,0.2,50,1000,95656,8919,134,49926.17188,0.002684
6,1000,0.8,0.2,50,1000,95128,8999,128,49758.61719,0.002572
7,1000,0.8,0.2,50,1000,98696,9215,126,51151.76172,0.002463
8,1000,0.8,0.2,50,1000,92179,8752,121,48629.49609,0.002488
9,1000,0.8,0.2,50,1000,94068,8893,143,49899.82813,0.002866
10,1000,0.8,0.2,50,1000,94582,8899,128,49779.49609,0.002571
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,181014,8761,122,48903.48047,0.002495
2,1000,0.8,0.2,50,1000,185064,8993,114,50251.34766,0.002269
3,1000,0.8,0.2,50,1000,185369,8966,108,49760.12109,0.00217
4,1000,0.8,0.2,50,1000,185514,8904,111,49749.46094,0.002231
5,1000,0.8,0.2,50,1000,189193,9027,125,50558.65234,0.002472
6,1000,0.8,0.2,50,1000,182231,8908,100,49213.97656,0.002032
7,1000,0.8,0.2,50,1000,189811,9108,86,50585.54688,0.0017
8,1000,0.8,0.2,50,1000,185667,8940,95,49691.78516,0.001912
9,1000,0.8,0.2,50,1000,187864,9016,104,50582.95703,0.002056
10,1000,0.8,0.2,50,1000,189506,9156,118,51308.29688,0.0023
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,356137,9142,95,51046.29688,0.001861
2,1000,0.8,0.2,50,1000,358835,9176,92,51323.14063,0.001793
3,1000,0.8,0.2,50,1000,345466,8829,79,48989.69531,0.001613
4,1000,0.8,0.2,50,1000,344136,8788,72,49125.92188,0.001466
5,1000,0.8,0.2,50,1000,343398,8786,91,49297.05859,0.001846
6,1000,0.8,0.2,50,1000,346859,8838,75,48870.91016,0.001535
7,1000,0.8,0.2,50,1000,350825,8917,70,49485.03125,0.001415
8,1000,0.8,0.2,50,1000,347212,8894,92,49474.71875,0.00186
9,1000,0.8,0.2,50,1000,341072,8728,82,48970.04688,0.001674
10,1000,0.8,0.2,50,1000,352144,9051,82,50693.83203,0.001618
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,18930,3840,48,48245.82813,0.000995
2,1000,0.8,0.2,50,1000,20883,4209,24,52586.83984,0.000456
3,1000,0.8,0.2,50,1000,19645,3922,49,50170.375,0.000977
4,1000,0.8,0.2,50,1000,19746,4092,18,49799.83594,0.000361
5,1000,0.8,0.2,50,1000,19669,3898,12,49540.94922,0.000242
6,1000,0.8,0.2,50,1000,20259,4095,16,51033.94531,0.000314
7,1000,0.8,0.2,50,1000,19711,3804,21,49803.47656,0.000422
8,1000,0.8,0.2,50,1000,19721,4037,14,49694.53516,0.000282
9,1000,0.8,0.2,50,1000,20061,4014,31,50780.60547,0.00061
10,1000,0.8,0.2,50,1000,20583,4111,10,51772.67578,0.000193
