Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6325,3134,938,49990.269531,0.018764
2,1000,0.5,0.2,50.0,1000,6690,3331,950,49385.933594,0.019236
3,1000,0.5,0.2,50.0,1000,6484,3228,928,50035.363281,0.018547
4,1000,0.5,0.2,50.0,1000,6224,3134,960,50652.695312,0.018953
5,1000,0.5,0.2,50.0,1000,6416,3181,963,48829.300781,0.019722
6,1000,0.5,0.2,50.0,1000,6541,3322,971,51416.714844,0.018885
7,1000,0.5,0.2,50.0,1000,6552,3209,940,50310.765625,0.018684
8,1000,0.5,0.2,50.0,1000,6262,3146,946,50337.882812,0.018793
9,1000,0.5,0.2,50.0,1000,6471,3224,951,49475.273438,0.019222
10,1000,0.5,0.2,50.0,1000,6474,3247,957,49387.281250,0.019377
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6623,3291,996,48581.707031,0.020502
2,1000,0.5,0.2,50.0,1000,6763,3362,996,49538.589844,0.020106
3,1000,0.5,0.2,50.0,1000,6804,3397,999,49033.949219,0.020374
4,1000,0.5,0.2,50.0,1000,6616,3346,999,50088.167969,0.019945
5,1000,0.5,0.2,50.0,1000,6647,3324,999,48854.214844,0.020449
6,1000,0.5,0.2,50.0,1000,6693,3407,999,51682.609375,0.019330
7,1000,0.5,0.2,50.0,1000,6872,3392,999,49299.664062,0.020264
8,1000,0.5,0.2,50.0,1000,6687,3324,999,50229.058594,0.019889
9,1000,0.5,0.2,50.0,1000,6764,3356,999,49462.402344,0.020197
10,1000,0.5,0.2,50.0,1000,6976,3463,999,50791.386719,0.019669
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6623,3291,996,48581.707031,0.020502
2,1000,0.5,0.2,50.0,1000,6763,3362,996,49538.589844,0.020106
3,1000,0.5,0.2,50.0,1000,6804,3397,999,49033.949219,0.020374
4,1000,0.5,0.2,50.0,1000,6616,3346,999,50088.167969,0.019945
5,1000,0.5,0.2,50.0,1000,6647,3324,999,48854.214844,0.020449
6,1000,0.5,0.2,50.0,1000,6693,3407,999,51682.609375,0.019330
7,1000,0.5,0.2,50.0,1000,6872,3392,999,49299.664062,0.020264
8,1000,0.5,0.2,50.0,1000,6687,3324,999,50229.058594,0.019889
9,1000,0.5,0.2,50.0,1000,6764,3356,999,49462.402344,0.020197
10,1000,0.5,0.2,50.0,1000,6976,3463,999,50791.386719,0.019669
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6623,3291,996,48581.707031,0.020502
2,1000,0.5,0.2,50.0,1000,6763,3362,996,49538.589844,0.020106
3,1000,0.5,0.2,50.0,1000,6804,3397,999,49033.949219,0.020374
4,1000,0.5,0.2,50.0,1000,6616,3346,999,50088.167969,0.019945
5,1000,0.5,0.2,50.0,1000,6647,3324,999,48854.214844,0.020449
6,1000,0.5,0.2,50.0,1000,6693,3407,999,51682.609375,0.019330
7,1000,0.5,0.2,50.0,1000,6872,3392,999,49299.664062,0.020264
8,1000,0.5,0.2,50.0,1000,6687,3324,999,50229.058594,0.019889
9,1000,0.5,0.2,50.0,1000,6764,3356,999,49462.402344,0.020197
10,1000,0.5,0.2,50.0,1000,6976,3463,999,50791.386719,0.019669
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6623,3291,996,48581.707031,0.020502
2,1000,0.5,0.2,50.0,1000,6763,3362,996,49538.589844,0.020106
3,1000,0.5,0.2,50.0,1000,6804,3397,999,49033.949219,0.020374
4,1000,0.5,0.2,50.0,1000,6616,3346,999,50088.167969,0.019945
5,1000,0.5,0.2,50.0,1000,6647,3324,999,48854.214844,0.020449
6,1000,0.5,0.2,50.0,1000,6693,3407,999,51682.609375,0.019330
7,1000,0.5,0.2,50.0,1000,6872,3392,999,49299.664062,0.020264
8,1000,0.5,0.2,50.0,1000,6687,3324,999,50229.058594,0.019889
9,1000,0.5,0.2,50.0,1000,6764,3356,999,49462.402344,0.020197
10,1000,0.5,0.2,50.0,1000,6976,3463,999,50791.386719,0.019669
