Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.8,0.2,50,1000,8931,1787,245,50577.97266,0.004844,
2,1000,0.8,0.2,50,1000,8817,1784,230,49512.86328,0.004645,
3,1000,0.8,0.2,50,1000,7690,1559,209,47208.02344,0.004427,
4,1000,0.8,0.2,50,1000,7314,1541,220,47783.21875,0.004604,
5,1000,0.8,0.2,50,1000,8750,1760,228,49934.24219,0.004566,
6,1000,0.8,0.2,50,1000,8544,1750,218,50600.48828,0.004308,
7,1000,0.8,0.2,50,1000,7082,1371,184,47828.17188,0.003847,
8,1000,0.8,0.2,50,1000,7947,1616,212,50591.36719,0.00419,
9,1000,0.8,0.2,50,1000,8969,1774,250,49688.27734,0.005031,
10,1000,0.8,0.2,50,1000,9665,1972,234,50620.17578,0.004623,0.0045085
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.8,0.2,50,1000,194170,8763,420,50950.10547,0.008243,
2,1000,0.8,0.2,50,1000,231071,8770,383,49847.28125,0.007683,
3,1000,0.8,0.2,50,1000,94754,8643,375,48925.67188,0.007665,
4,1000,0.8,0.2,50,1000,160689,8263,610,51029.32031,0.011954,
5,1000,0.8,0.2,50,1000,109930,8288,755,50044.46484,0.015087,
6,1000,0.8,0.2,50,1000,254513,8967,307,50037.91797,0.006135,
7,1000,0.8,0.2,50,1000,163167,8414,582,49886.76953,0.011666,
8,1000,0.8,0.2,50,1000,176166,8839,589,50825.87891,0.011589,
9,1000,0.8,0.2,50,1000,63208,7847,878,51753.45313,0.016965,
10,1000,0.8,0.2,50,1000,172056,8679,578,50230.5625,0.011507,0.0108494
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.8,0.2,50,1000,404009,8693,466,50608.49609,0.009208,
2,1000,0.8,0.2,50,1000,481917,8617,368,49026.03906,0.007506,
3,1000,0.8,0.2,50,1000,441676,8695,407,49251.47266,0.008264,
4,1000,0.8,0.2,50,1000,251688,7935,581,49243.95703,0.011798,
5,1000,0.8,0.2,50,1000,122798,8235,751,49699.39063,0.015111,
6,1000,0.8,0.2,50,1000,533976,8904,290,49626.07031,0.005844,
7,1000,0.8,0.2,50,1000,260759,8420,587,49885.33203,0.011767,
8,1000,0.8,0.2,50,1000,260114,8747,589,50353.67578,0.011697,
9,1000,0.8,0.2,50,1000,65113,7842,878,51721.82422,0.016975,
10,1000,0.8,0.2,50,1000,277220,8498,577,49289.93359,0.011706,0.0109876
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.8,0.2,50,1000,24978,5054,630,49491.05859,0.01273,
2,1000,0.8,0.2,50,1000,24854,5017,653,49204.51953,0.013271,
3,1000,0.8,0.2,50,1000,23867,4723,580,50437.08594,0.011499,
4,1000,0.8,0.2,50,1000,23626,4797,640,49482.6875,0.012934,
5,1000,0.8,0.2,50,1000,26773,5289,701,51481.08984,0.013617,
6,1000,0.8,0.2,50,1000,24654,4989,629,50463.09375,0.012465,
7,1000,0.8,0.2,50,1000,24264,4776,638,49462.30469,0.012899,
8,1000,0.8,0.2,50,1000,26391,5435,665,51029.29297,0.013032,
9,1000,0.8,0.2,50,1000,24571,5015,643,49176.03516,0.013075,
10,1000,0.8,0.2,50,1000,22692,4519,560,49561.53906,0.011299,0.0126821
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,
1,1000,0.8,0.2,50,1000,53226,7726,841,50850.92188,0.016539,
2,1000,0.8,0.2,50,1000,101056,8670,404,50049.86719,0.008072,
3,1000,0.8,0.2,50,1000,38988,7794,809,49785.23438,0.01625,
4,1000,0.8,0.2,50,1000,39750,7350,877,50180.96875,0.017477,
5,1000,0.8,0.2,50,1000,39130,7437,886,50248.49609,0.017632,
6,1000,0.8,0.2,50,1000,139417,8731,258,48673.89063,0.005301,
7,1000,0.8,0.2,50,1000,111610,8488,385,49440.35938,0.007787,
8,1000,0.8,0.2,50,1000,36295,7304,867,48980.24219,0.017701,
9,1000,0.8,0.2,50,1000,36623,7254,871,49594.18359,0.017563,
10,1000,0.8,0.2,50,1000,95054,8282,510,48951.44922,0.010418,0.013474
