Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2474,2224,998,49609.230469,0.020117
2,1000,0.1,0.2,50.0,1000,2578,2330,999,48914.968750,0.020423
3,1000,0.1,0.2,50.0,1000,2473,2256,999,49638.812500,0.020125
4,1000,0.1,0.2,50.0,1000,2523,2258,999,49595.953125,0.020143
5,1000,0.1,0.2,50.0,1000,2342,2124,999,51121.179688,0.019542
6,1000,0.1,0.2,50.0,1000,2402,2166,999,49816.605469,0.020054
7,1000,0.1,0.2,50.0,1000,2533,2246,999,49563.179688,0.020156
8,1000,0.1,0.2,50.0,1000,2434,2202,999,50657.671875,0.019721
9,1000,0.1,0.2,50.0,1000,2507,2228,999,50380.699219,0.019829
10,1000,0.1,0.2,50.0,1000,2424,2209,999,48762.816406,0.020487
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3015,2409,999,49542.574219,0.020164
2,1000,0.2,0.2,50.0,1000,3057,2469,999,49504.125000,0.020180
3,1000,0.2,0.2,50.0,1000,3152,2513,999,49505.050781,0.020180
4,1000,0.2,0.2,50.0,1000,3024,2419,999,50735.519531,0.019690
5,1000,0.2,0.2,50.0,1000,2923,2334,999,49220.367188,0.020296
6,1000,0.2,0.2,50.0,1000,3096,2518,996,49687.160156,0.020045
7,1000,0.2,0.2,50.0,1000,3072,2463,999,48145.710938,0.020750
8,1000,0.2,0.2,50.0,1000,2914,2356,999,50062.992188,0.019955
9,1000,0.2,0.2,50.0,1000,3130,2503,999,50638.109375,0.019728
10,1000,0.2,0.2,50.0,1000,3035,2428,999,49447.292969,0.020203
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,5014,2949,999,50469.292969,0.019794
2,1000,0.4,0.2,50.0,1000,4819,2909,999,49086.773438,0.020352
3,1000,0.4,0.2,50.0,1000,5021,3006,996,49605.726562,0.020078
4,1000,0.4,0.2,50.0,1000,4774,2933,999,49899.535156,0.020020
5,1000,0.4,0.2,50.0,1000,4719,2829,999,49201.011719,0.020304
6,1000,0.4,0.2,50.0,1000,4750,2911,997,50407.425781,0.019779
7,1000,0.4,0.2,50.0,1000,5009,2954,998,52009.234375,0.019189
8,1000,0.4,0.2,50.0,1000,4771,2895,999,50323.722656,0.019851
9,1000,0.4,0.2,50.0,1000,4999,2975,999,50331.226562,0.019849
10,1000,0.4,0.2,50.0,1000,5020,3041,999,50217.160156,0.019894
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,10096,4087,998,48233.878906,0.020691
2,1000,0.6,0.2,50.0,1000,10098,3909,999,50553.921875,0.019761
3,1000,0.6,0.2,50.0,1000,10033,3973,994,49630.332031,0.020028
4,1000,0.6,0.2,50.0,1000,9832,3983,999,49585.539062,0.020147
5,1000,0.6,0.2,50.0,1000,10081,4009,999,50869.929688,0.019638
6,1000,0.6,0.2,50.0,1000,9975,4047,999,51772.085938,0.019296
7,1000,0.6,0.2,50.0,1000,10396,4119,998,50898.359375,0.019608
8,1000,0.6,0.2,50.0,1000,10055,4027,999,49321.707031,0.020255
9,1000,0.6,0.2,50.0,1000,10097,4049,999,48436.292969,0.020625
10,1000,0.6,0.2,50.0,1000,10312,4159,997,49874.832031,0.019990
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,33879,6818,832,50566.300781,0.016454
2,1000,0.8,0.2,50.0,1000,48826,7776,701,50707.792969,0.013824
3,1000,0.8,0.2,50.0,1000,32405,6408,760,49305.632812,0.015414
4,1000,0.8,0.2,50.0,1000,31576,6307,820,50187.042969,0.016339
5,1000,0.8,0.2,50.0,1000,32324,6423,778,50186.390625,0.015502
6,1000,0.8,0.2,50.0,1000,31572,6317,775,50513.253906,0.015343
7,1000,0.8,0.2,50.0,1000,30929,6129,730,49947.242188,0.014615
8,1000,0.8,0.2,50.0,1000,30189,6078,788,51587.816406,0.015275
9,1000,0.8,0.2,50.0,1000,30985,6244,798,51140.671875,0.015604
10,1000,0.8,0.2,50.0,1000,30875,6106,750,48971.644531,0.015315
